remoteId,published,modified,Nome,"Abstract (descrizione in breve)",Descrizione,Competenze,"Scheda della struttura","Orario per il pubblico",Immagine,"Tipologia della Struttura","Servizio di appartenenza","Incarico di appartenenza","Ufficio di appartenenza","Struttura di appartenenza","Area di appartenenza",Circoscrizione,"Telefono segreteria",Fax,"Indirizzo e-mail","Indirizzo e-mail secondario","Indirizzo e-mail certificata",Sede,Indirizzo,CAP,"Identificativo DB AS400 struttura (univoco)","Codice identificativo della struttura AS400","Codice del servizio (primo livello) AS400","Codice dell'incarico (secondo livello) AS400","Codice dell'ufficio (terzo livello) AS400","Codice della struttura (quarto livello) AS400","Codice altra struttura (quinto livello) AS400","Data inizio validità","Data fine validità",lat,lon,address
struttura573,2021-01-01T00:00:00+01:00,2021-04-01T20:05:06+02:00,"Orsetto Pandi - Cristo Re",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/orsetto-pandi-cristo-re/12604957-2-ita-IT/Orsetto-Pandi-Cristo-Re.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 12 - Centro storico - Piedicastello",0461-889701,0461-889701,asilonido.cristore@comune.trento.it,,,"SCUOLA MATERNA E ASILO NIDO CRISTO RE","VIA L. SENESI, 3  ",38121,573,0,18,,1,2,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.081516,11.118067,"VIA L. SENESI, 3   "
struttura587,2021-01-01T00:00:00+01:00,2021-04-01T20:05:10+02:00,Meano,,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/meano2/12605405-2-ita-IT/Meano.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 02 - Meano",0461-950398,0461-956445,meano@citta-futura.it,,,"SCUOLA MATERNA ""PARTELLONI"" E NIDO A MEANO","VIA DELLE SUGARINE, 38  ",38121,587,0,18,,1,17,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.125568,11.116221,"VIA DELLE SUGARINE, 38   "
struttura572,2021-01-01T00:00:00+01:00,2021-04-01T20:05:06+02:00,"Il Trenino - Bolghera",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/il-trenino-bolghera/12604925-2-ita-IT/Il-Trenino-Bolghera.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 10 - Oltrefersina",0461-889705,0461-889705,asilonido.bolghera@comune.trento.it,,,"ASILO NIDO ""BOLGHERA""","VIA GOCCIADORO, 84  ",38122,572,0,18,,1,1,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.055465,11.132422,"VIA GOCCIADORO, 84   "
struttura590,2021-01-01T00:00:00+01:00,2021-04-01T20:05:11+02:00,"Viale dei Tigli",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/viale-dei-tigli/12605501-2-ita-IT/Viale-dei-Tigli.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 10 - Oltrefersina",0461-390147,0461-390147,nido.tigli@progestrento.it,,,"ASILO NIDO PART-TIME VIALE DEI TIGLI","V.LE DEI TIGLI, 19  ",38123,590,0,18,,1,20,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.051812,11.133118,"V.LE DEI TIGLI, 19   "
struttura588,2021-01-01T00:00:00+01:00,2021-04-01T20:05:11+02:00,Oltrecastello,,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/oltrecastello/12605437-2-ita-IT/Oltrecastello.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 07 - Povo",0461-342169,0461-342169,nido.oltrecastello@progestrento.it,,,"ASILO NIDO DI OLTRECASTELLO","VIA BORINO, 1  ",38123,588,0,18,,1,18,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.070423,11.162653,"VIA BORINO, 1   "
struttura576,2021-01-01T00:00:00+01:00,2021-04-01T20:05:07+02:00,"S. Giuseppe",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/s.-giuseppe/12605053-2-ita-IT/S.-Giuseppe.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 11 - S. Giuseppe S. Chiara",0461-914014,0461-914014,asilonido.sgiuseppe@comune.trento.it,,,"ASILO NIDO S. GIUSEPPE","VIA G. GIUSTI, 54  ",38122,576,0,18,,1,5,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.058942,11.117736,"VIA G. GIUSTI, 54   "
struttura585,2021-01-01T00:00:00+01:00,2021-04-01T20:05:10+02:00,"Madonna Bianca",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/madonna-bianca/12605341-2-ita-IT/Madonna-Bianca.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 10 - Oltrefersina",0461-931290,0461-931290,nido.madonnabianca@progestrento.it,,,"SCUOLA MATERNA E ASILO NIDO ""MADONNA BIANCA""","VIA A. BETTINI, 1  ",38123,585,0,18,,1,15,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.040213,11.135067,"VIA A. BETTINI, 1   "
struttura610,2021-01-01T00:00:00+01:00,2021-04-01T20:05:17+02:00,"Girotondo - Ravina",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/girotondo-ravina/12606141-2-ita-IT/Girotondo-Ravina.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 05 - Ravina - Romagnano",0461-922216,0461-922216,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA MATERNA DI RAVINA","VIA PER BELVEDERE, 8  ",38123,610,0,18,,1,54,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.038637,11.107508,"VIA PER BELVEDERE, 8   "
struttura611,2021-01-01T00:00:00+01:00,2021-04-01T20:05:17+02:00,"Gli gnomi del bosco - Romagnano",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/gli-gnomi-del-bosco-romagnano/12606173-2-ita-IT/Gli-gnomi-del-bosco-Romagnano.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 05 - Ravina - Romagnano",0461-349153,0461-349153,circolo.coordinamento04@provincia.tn.it,,,"CENTRO POLIFUNZIONALE-MATERNA-VV.FF.-CABINA ROMAG.","VIA DELLE PREDE, 2  ",38123,611,0,18,,1,55,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.016386,11.105372,"VIA DELLE PREDE, 2   "
struttura592,2021-01-01T00:00:00+01:00,2021-04-01T20:05:12+02:00,"Centro genitori bambini Torrione",,"Per maggiori informazioni vedi la 						
					            scheda informativa
    
.",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/centro-genitori-bambini-torrione/12605565-2-ita-IT/Centro-genitori-bambini-Torrione.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 11 - S. Giuseppe S. Chiara",0461-889707,0461-889707,asilonido.centrogenitori@comune.trento.it,,,"EDIFICIO ""TORRIONE"" (MATERNA-NIDO-MENSA BRESADOLA)","VIA AL TORRIONE, 10  ",38122,592,0,18,,1,23,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.065259,11.122383,"VIA AL TORRIONE, 10   "
struttura589,2021-01-01T00:00:00+01:00,2021-04-01T20:05:11+02:00,"Roncafort (via Caproni)",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/roncafort-via-caproni/12605469-2-ita-IT/Roncafort-via-Caproni.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 01 - Gardolo",0461-420943,0461-420943,nido.roncafort@progestrento.it,,,"ASILO NIDO PART TIME RONCAFORT (ITEA)","VIA G. CAPRONI, 36  ",38121,589,0,18,,1,19,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.1004,11.098932,"VIA G. CAPRONI, 36   "
struttura607,2021-01-01T00:00:00+01:00,2021-04-01T20:05:16+02:00,"San Martino",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/san-martino/12606045-2-ita-IT/San-Martino.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 12 - Centro storico - Piedicastello",0461-237516,0461-237516,circolo.coordinamento03@provincia.tn.it,,,"SCUOLA MATERNA ""S.MARTINO""","VIA DELLA PREDARA, 16  ",38121,607,0,18,,1,51,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.074772,11.126332,"VIA DELLA PREDARA, 16   "
struttura581,2021-01-01T00:00:00+01:00,2021-04-01T20:05:09+02:00,Clarina,,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/clarina/12605213-2-ita-IT/Clarina.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 10 - Oltrefersina",0461-925060,0461-925060,nido.clarina@progestrento.it,,,"ASILO NIDO ""CLARINA""","VIA L. EINAUDI, 24  ",38123,581,0,18,,1,10,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.052274,11.126835,"VIA L. EINAUDI, 24   "
struttura606,2021-01-01T00:00:00+01:00,2021-04-01T20:05:16+02:00,"L'Albero del Sole - Madonna Bianca",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/l-albero-del-sole-madonna-bianca/12606013-2-ita-IT/L-Albero-del-Sole-Madonna-Bianca.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 10 - Oltrefersina",0461-922124,0461-922124,circolo.coordinamento03@provincia.tn.it,,,"SCUOLA MATERNA E ASILO NIDO ""MADONNA BIANCA""","VIA A. BETTINI, 1  ",38123,606,0,18,,1,50,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.040213,11.135067,"VIA A. BETTINI, 1   "
struttura608,2021-01-01T00:00:00+01:00,2021-04-01T20:05:17+02:00,"Arcobaleno - Martignano",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/arcobaleno-martignano/12606077-2-ita-IT/Arcobaleno-Martignano.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 06 - Argentario",0461-830411,0461-830411,circolo.coordinamento06@provincia.tn.it,,,"SCUOLA MATERNA E SUCCURSALE ELEMENTARI MARTIGNANO","VIA ALLA FORMIGHETA, 4  ",38121,608,0,18,,1,52,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.089674,11.132001,"VIA ALLA FORMIGHETA, 4   "
struttura593,2021-01-01T00:00:00+01:00,2021-04-01T20:05:12+02:00,"Il Magicocastello",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/il-magicocastello/12605597-2-ita-IT/Il-Magicocastello.png,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 12 - Centro storico - Piedicastello",0461-261443,0461-221868,nido.magicocastello@progestrento.it,,,"ASILO NIDO ""MAGICOCASTELLO"" (PETRARCA)","VIA F. PETRARCA, 9  ",38122,593,0,18,,1,24,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.071911,11.123444,"VIA F. PETRARCA, 9   "
struttura597,2021-01-01T00:00:00+01:00,2021-04-01T20:05:13+02:00,"Nido Inteporto (via Innsbruck)",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/nido-inteporto-via-innsbruck/12605725-2-ita-IT/Nido-Inteporto-via-Innsbruck.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,,0461-889708,0461-889708,asilonido.interporto@comune.trento.it,,,"ASILO NIDO ""INTERPORTO"" (PROPRIETA' INTERBRENNERO)","VIA INNSBRUCK, 23  ",38121,597,0,18,,1,28,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.110728,11.091732,"VIA INNSBRUCK, 23   "
struttura604,2021-01-01T00:00:00+01:00,2021-04-01T20:05:15+02:00,"Biancaneve - Gardolo",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/biancaneve-gardolo/12605949-2-ita-IT/Biancaneve-Gardolo.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 01 - Gardolo",0461-992128,0461-992128,circolo.coordinamento05@provincia.tn.it,,,"SCUOLA MATERNA E ASILO NIDO GARDOLO PALUDI","VIA PALUDI, 9  1",38121,604,0,18,,1,47,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.104441,11.108045,"VIA PALUDI, 9  1 "
struttura595,2021-01-01T00:00:00+01:00,2021-04-01T20:05:13+02:00,Ravina,,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/ravina2/12605661-2-ita-IT/Ravina.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 05 - Ravina - Romagnano",0461-935187,0461-935187,ravina@citta-futura.it,,,"ASILO NIDO DI RAVINA","VIA PER BELVEDERE,  6  A",38123,595,0,18,,1,26,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.038939,11.108165,"VIA PER BELVEDERE,  6  A "
struttura619,2021-01-01T00:00:00+01:00,2021-04-01T20:05:20+02:00,"Mariachiara Conotter - Povo",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/mariachiara-conotter-povo/12606429-2-ita-IT/Mariachiara-Conotter-Povo.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 07 - Povo",0461-810574,0461-810574,circolo.coordinamento03@provincia.tn.it,,,"SCUOLA MATERNA ""MARIACHIARA CONOTTER"" A POVO","VIA DELLA RESISTENZA, 48  ",38123,619,0,18,,1,63,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.067738,11.161619,"VIA DELLA RESISTENZA, 48   "
struttura599,2021-01-01T00:00:00+01:00,2021-04-01T20:05:14+02:00,"Il Melograno - Cadine",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/il-melograno-cadine/12605789-2-ita-IT/Il-Melograno-Cadine.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 03 - Bondone",0461-866302,0461-866302,circolo.coordinamento05@provincia.tn.it,,,"SCUOLA MATERNA DI CADINE ""IL MELOGRANO""","VIA DI COLTURA, 3  ",38123,599,0,18,,1,42,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.089134,11.065125,"VIA DI COLTURA, 3   "
struttura609,2021-01-01T00:00:00+01:00,2021-04-01T20:05:17+02:00,"M.R. Giobatta Partelloni - Meano",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/m.r.-giobatta-partelloni-meano/12606109-2-ita-IT/M.R.-Giobatta-Partelloni-Meano.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 02 - Meano",0461-991187,0461-991187,circolo.coordinamento06@provincia.tn.it,,,"SCUOLA MATERNA ""PARTELLONI"" E NIDO A MEANO","VIA DELLE SUGARINE, 38  ",38121,609,0,18,,1,53,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.125568,11.116221,"VIA DELLE SUGARINE, 38   "
struttura603,2021-01-01T00:00:00+01:00,2021-04-01T20:05:15+02:00,"Girasole - Melta",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/girasole-melta/12605917-2-ita-IT/Girasole-Melta.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 01 - Gardolo",0461-991622,0461-991622,circolo.coordinamento06@provincia.tn.it,,,"SCUOLA MATERNA DI MELTA","VIA DI MELTA, 14  ",38121,603,0,18,,1,46,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.100678,11.118575,"VIA DI MELTA, 14   "
